date,sym,company,close,volume,open,high,low
02/21/2025,TT,Trane Techologies plc,354.83,1163535,367.46,368.09,354.1
02/21/2025,WPM,Wheaton Precious Metals Corp,68.05,1803874,69.5,69.5,67.99
02/24/2025,ADD,Color Star Technology Co Ltd,1.22,432042,1.18,1.28,1.11
02/24/2025,AXON,Axon Enterprise Inc,499.73,1322641,516.51,524.35,496.19
02/24/2025,CEG,Constellation Energy Corporation,267.72,7221426,290.01,290.01,262.65
02/24/2025,HON,Honeywell International Inc,209.91,6742157,211.76,215.19,209.72
02/24/2025,HSHIP,Himalaya Shipping Ltd,5.18,278755,5.2,5.345,5.11
02/24/2025,STLD,Steel Dynamics Inc,133.15,1905596,134.68,134.94,131.245
02/24/2025,TT,Trane Techologies plc,346.88,1981336,357.13,358.7,345.99
02/24/2025,WPM,Wheaton Precious Metals Corp,68.85,1266970,68.73,69.3053,67.67
02/25/2025,ADD,Color Star Technology Co Ltd,1.17,376458,1.2,1.2,1.12
02/25/2025,AXON,Axon Enterprise Inc,496.65,1360330,498.905,502.2426,480.1767
02/25/2025,CEG,Constellation Energy Corporation,264.31,5094557,264.78,268.05,248.56
02/25/2025,HON,Honeywell International Inc,212,3798426,211.15,213.82,211.02
02/25/2025,HSHIP,Himalaya Shipping Ltd,5.42,258100,5.42,5.59,5.34
02/25/2025,STLD,Steel Dynamics Inc,133.48,1293374,132.99,134.39,131.06
02/25/2025,TT,Trane Techologies plc,348.78,3644769,345.66,350.11,341.32
02/25/2025,WPM,Wheaton Precious Metals Corp,68.94,1661656,68.19,69.125,67.22
02/26/2025,ADD,Color Star Technology Co Ltd,1.14,252358,1.19,1.2,1.12
02/26/2025,AXON,Axon Enterprise Inc,572.4,2837988,584.95,600.99,558.21
02/26/2025,CEG,Constellation Energy Corporation,270.14,4729045,272.75,279.95,268.05
02/26/2025,HON,Honeywell International Inc,211.33,3126930,210.83,212.71,209.7526
02/26/2025,HSHIP,Himalaya Shipping Ltd,5.68,198694,5.58,5.75,5.58
02/26/2025,STLD,Steel Dynamics Inc,133.48,1106678,134.21,137.32,132.85
02/26/2025,TT,Trane Techologies plc,350.71,1856944,351.02,356.76,350.04
02/26/2025,WPM,Wheaton Precious Metals Corp,70.26,1359377,68.52,70.8,68.26
02/27/2025,ADD,Color Star Technology Co Ltd,1.14,243467,1.13,1.15,1.1
02/27/2025,AXON,Axon Enterprise Inc,525.44,1453907,575,578.8739,521.7
02/27/2025,CEG,Constellation Energy Corporation,249.74,5130960,276.39,280.6,248.79
02/27/2025,HON,Honeywell International Inc,212.27,2755384,211.79,214.885,211.62
02/27/2025,HSHIP,Himalaya Shipping Ltd,5.31,198515,5.4,5.45,5.28
02/27/2025,STLD,Steel Dynamics Inc,133.32,1198269,134.7,136.38,133.13
02/27/2025,TT,Trane Techologies plc,344.28,1273460,352.27,355.04,344.15
02/27/2025,WPM,Wheaton Precious Metals Corp,68.04,1617455,69.18,70.08,67.58
02/28/2025,ADD,Color Star Technology Co Ltd,1.14,141055,1.11,1.14,1.1
02/28/2025,AXON,Axon Enterprise Inc,528.45,1153735,526.97,531.36,514.04
02/28/2025,CEG,Constellation Energy Corporation,250.545,6029597,246.42,251.5388,241.61
02/28/2025,HON,Honeywell International Inc,212.89,3976646,212.99,213.77,210.59
02/28/2025,HSHIP,Himalaya Shipping Ltd,5.45,174216,5.48,5.54,5.36
02/28/2025,STLD,Steel Dynamics Inc,135.07,1695776,133.75,135.27,130.86
02/28/2025,TT,Trane Techologies plc,353.7,2658541,345.31,354.43,341.79
02/28/2025,WPM,Wheaton Precious Metals Corp,68.92,2070756,66.99,69.47,66.6882
03/13/2025,ADD,Color Star Technology Co Ltd,0.9991,215030,1,1.03,0.9629
03/13/2025,AXON,Axon Enterprise Inc,534.56,760807,558.81,569.95,530.2203
03/13/2025,CEG,Constellation Energy Corporation,209.87,3654305,216.77,216.77,203.72
03/13/2025,HON,Honeywell International Inc,206.69,3530967,205.66,207.9,205.11
03/13/2025,HSHIP,Himalaya Shipping Ltd,5.71,137791,5.88,5.89,5.7
03/13/2025,STLD,Steel Dynamics Inc,123.25,2038482,123.42,126.88,122.35
03/13/2025,TT,Trane Techologies plc,338.9,1989874,337.95,340.11,334.82
03/13/2025,WPM,Wheaton Precious Metals Corp,72.72,2446246,71.55,73.7731,71.3101
03/14/2025,ADD,Color Star Technology Co Ltd,1.03,120203,1,1.03,0.9751
03/14/2025,AXON,Axon Enterprise Inc,556.26,656155,544.55,557.45,543.875
03/14/2025,CEG,Constellation Energy Corporation,216.46,3829888,213.83,217.5,209.03
03/14/2025,HON,Honeywell International Inc,209.47,3884590,208.47,211.15,207.89
03/14/2025,HSHIP,Himalaya Shipping Ltd,5.75,106280,5.72,5.79,5.71
03/14/2025,STLD,Steel Dynamics Inc,127.14,1562879,125.94,127.52,124.745
03/14/2025,TT,Trane Techologies plc,347.8,1473745,343.8,348.59,340.455
03/14/2025,WPM,Wheaton Precious Metals Corp,73.82,2504012,74.43,74.93,72.31
03/17/2025,ADD,Color Star Technology Co Ltd,0.985,127599,1,1,0.9748
03/17/2025,AXON,Axon Enterprise Inc,554.82,664625,552.72,563.7,549.58
03/17/2025,CEG,Constellation Energy Corporation,218.54,3547587,216.91,222.065,214.36
03/17/2025,HON,Honeywell International Inc,210.42,4415159,208.44,211.11,207.725
03/17/2025,HSHIP,Himalaya Shipping Ltd,5.79,97615,5.78,5.87,5.77
03/17/2025,STLD,Steel Dynamics Inc,124.94,1983665,125.85,125.945,122.41
03/17/2025,TT,Trane Techologies plc,350.94,1248174,347.42,352.985,346.3
03/17/2025,WPM,Wheaton Precious Metals Corp,76.02,2702472,74.71,76.22,74.55
03/18/2025,ADD,Color Star Technology Co Ltd,1.01,530396,0.98,1.0496,0.8086
03/18/2025,AXON,Axon Enterprise Inc,539.99,558600,548.7,555.58,532.52
03/18/2025,CEG,Constellation Energy Corporation,210.85,2716469,217.92,218.135,209.25
03/18/2025,HON,Honeywell International Inc,209.74,3811392,210.41,211.51,208.83
03/18/2025,HSHIP,Himalaya Shipping Ltd,5.7,100234,5.87,5.87,5.68
03/18/2025,STLD,Steel Dynamics Inc,127.09,1914512,124.94,127.28,124.18
03/18/2025,TT,Trane Techologies plc,344.06,1502765,348.42,349.45,342.34
03/18/2025,WPM,Wheaton Precious Metals Corp,75.53,2007157,77.44,77.44,74.6696
03/19/2025,ADD,Color Star Technology Co Ltd,1.02,223515,0.99,1.02,0.91
03/19/2025,AXON,Axon Enterprise Inc,568.11,576540,545.34,571.4,542.65
03/19/2025,CEG,Constellation Energy Corporation,218.05,3091919,211.12,220.37,211.12
03/19/2025,HON,Honeywell International Inc,208.65,6408344,210.29,212.12,208.31
03/19/2025,HSHIP,Himalaya Shipping Ltd,5.77,77058,5.72,5.8,5.65
03/19/2025,STLD,Steel Dynamics Inc,128.52,1979677,127.32,128.69,126.28
03/19/2025,TT,Trane Techologies plc,350.06,1078890,344.43,352.54,343.34
03/19/2025,WPM,Wheaton Precious Metals Corp,76.17,1398257,75.54,76.32,74.73
03/20/2025,ADD,Color Star Technology Co Ltd,0.9177,308908,0.941,0.99,0.9177
03/20/2025,AXON,Axon Enterprise Inc,558.41,525252,560.16,572.82,556.4955
03/20/2025,CEG,Constellation Energy Corporation,219.44,2250506,217.06,222.43,214
03/20/2025,HON,Honeywell International Inc,210.89,3583283,207.59,211.67,207.295
03/20/2025,HSHIP,Himalaya Shipping Ltd,6.02,232117,5.97,6.07,5.91
03/20/2025,STLD,Steel Dynamics Inc,126.64,1763166,127.995,128.545,126.6
03/20/2025,TT,Trane Techologies plc,349.33,1279563,345.5,352.59,342.76
03/20/2025,WPM,Wheaton Precious Metals Corp,75.57,1309200,75.07,76.49,74.65
03/21/2025,ADD,Color Star Technology Co Ltd,0.9099,263298,0.9172,0.9699,0.8423
03/21/2025,AXON,Axon Enterprise Inc,560,803642,550.63,562.28,544.34
03/21/2025,CEG,Constellation Energy Corporation,222.48,3733473,215.775,222.82,212.55
03/21/2025,HON,Honeywell International Inc,210.12,6545140,209.13,211.45,208.78
03/21/2025,HSHIP,Himalaya Shipping Ltd,5.94,323634,6.05,6.05,5.894
03/21/2025,STLD,Steel Dynamics Inc,122.67,6338135,124.2,124.7,121.07
03/21/2025,TT,Trane Techologies plc,347.14,1712173,345.92,348.52,342.46
03/21/2025,WPM,Wheaton Precious Metals Corp,75,3159269,74.955,75.08,73.69
03/24/2025,ADD,Color Star Technology Co Ltd,0.9099,108812,0.9056,0.9238,0.88
03/24/2025,AXON,Axon Enterprise Inc,572.52,689675,571.99,574.155,561
03/24/2025,CEG,Constellation Energy Corporation,228.62,2773601,228.24,231.15,226.6001
03/24/2025,HON,Honeywell International Inc,211.85,4248215,211.64,212.68,210.5
03/24/2025,HSHIP,Himalaya Shipping Ltd,5.89,191279,5.86,5.92,5.84
03/24/2025,STLD,Steel Dynamics Inc,126.66,2214427,125.6,127.88,125.2
03/24/2025,TT,Trane Techologies plc,357.6,1587819,352.64,359.13,349
03/24/2025,WPM,Wheaton Precious Metals Corp,74.91,1406105,74.69,75.72,74.69
03/25/2025,ADD,Color Star Technology Co Ltd,0.9145,306581,0.8826,0.9699,0.88
03/25/2025,AXON,Axon Enterprise Inc,577.18,439776,569.21,579.675,566.97
03/25/2025,CEG,Constellation Energy Corporation,226.87,2849931,229.31,230.8723,222
03/25/2025,HON,Honeywell International Inc,212.12,3810393,211.09,213.01,210.27
03/25/2025,HSHIP,Himalaya Shipping Ltd,5.9,198680,5.82,5.955,5.705
03/25/2025,STLD,Steel Dynamics Inc,128,1435391,127.32,128.75,126.66
03/25/2025,TT,Trane Techologies plc,364,1492961,358.68,364.35,358.11
03/25/2025,WPM,Wheaton Precious Metals Corp,75.94,1657063,75.93,76.46,75.37
03/26/2025,ADD,Color Star Technology Co Ltd,0.87,149402,0.9145,0.9145,0.8514
03/26/2025,AXON,Axon Enterprise Inc,559.06,521741,575.57,578.2,553.56
03/26/2025,CEG,Constellation Energy Corporation,216.97,4060972,224,226.1,214
03/26/2025,HON,Honeywell International Inc,213.12,5251418,212.73,217.1639,212.61
03/26/2025,HSHIP,Himalaya Shipping Ltd,5.91,145397,5.8,5.96,5.7625
03/26/2025,STLD,Steel Dynamics Inc,128.34,1245852,128.04,130.11,127.85
03/26/2025,TT,Trane Techologies plc,352.06,2686883,363.3,366.52,349.08
03/26/2025,WPM,Wheaton Precious Metals Corp,75.26,1035599,76.41,76.5,75.025
03/27/2025,ADD,Color Star Technology Co Ltd,0.849,67275,0.88,0.88,0.8355
03/27/2025,AXON,Axon Enterprise Inc,550.65,374576,554.78,557,540
03/27/2025,CEG,Constellation Energy Corporation,209.2,4178259,211.96,217.55,207.52
03/27/2025,HON,Honeywell International Inc,214.17,3584360,213.1,215.21,212.27
03/27/2025,HSHIP,Himalaya Shipping Ltd,5.88,119180,5.78,5.9,5.7
03/27/2025,STLD,Steel Dynamics Inc,127.99,1367872,127.63,129.74,126.54
03/27/2025,TT,Trane Techologies plc,346.6,1692622,352.24,353.05,345.27
03/27/2025,WPM,Wheaton Precious Metals Corp,76.62,1603033,76.03,76.97,75.55
03/28/2025,ADD,Color Star Technology Co Ltd,0.7999,913018,0.85,0.85,0.7
03/28/2025,AXON,Axon Enterprise Inc,534.95,678472,550.4,550.4,529
03/28/2025,CEG,Constellation Energy Corporation,205.39,5571956,209.9,215.415,203.89
03/28/2025,HON,Honeywell International Inc,210.34,3253418,214.27,214.9,209.965
03/28/2025,HSHIP,Himalaya Shipping Ltd,5.84,246987,5.79,5.88,5.76
03/28/2025,STLD,Steel Dynamics Inc,123.97,2337384,128.07,128.74,123.28
03/28/2025,TT,Trane Techologies plc,332,2337168,345.06,345.76,331
03/28/2025,WPM,Wheaton Precious Metals Corp,76.84,2243010,77.36,77.8623,76.13
03/31/2025,ADD,Color Star Technology Co Ltd,0.7091,9293934,0.7173,0.79,0.6666
03/31/2025,AXON,Axon Enterprise Inc,525.95,779458,522.67,528.83,507.03
03/31/2025,CEG,Constellation Energy Corporation,201.63,4518882,198.98,203.56,195.55
03/31/2025,HON,Honeywell International Inc,211.75,3968314,210.83,212.44,209.76
03/31/2025,HSHIP,Himalaya Shipping Ltd,5.48,168385,5.73,5.73,5.47
03/31/2025,STLD,Steel Dynamics Inc,125.08,1771907,123.51,125.6,121.24
03/31/2025,TT,Trane Techologies plc,336.92,1805319,330.1,339.03,327.67
03/31/2025,WPM,Wheaton Precious Metals Corp,77.63,2085491,77.63,78.045,75.44
04/14/2025,ADD,Color Star Technology Co Ltd,0.7606,141094,0.78,0.802,0.723
04/14/2025,AXON,Axon Enterprise Inc,574.83,666157,578,590,571.715
04/14/2025,CEG,Constellation Energy Corporation,206.7,3427483,214.97,217.21,203.87
04/14/2025,HON,Honeywell International Inc,200.25,4492187,199.02,201.36,198.2
04/14/2025,HSHIP,Himalaya Shipping Ltd,4.76,229161,4.76,4.8403,4.68
04/14/2025,STLD,Steel Dynamics Inc,118.75,1521922,122.22,122.88,118.55
04/14/2025,TT,Trane Techologies plc,347.49,1249163,350.53,351.52,343.84
04/14/2025,WPM,Wheaton Precious Metals Corp,82.33,2607119,81.44,83.63,80.27
04/15/2025,ADD,Color Star Technology Co Ltd,0.7655,178666,0.75,0.828,0.73
